period_in_office,total_debt,president_name
1790,71060508.5,George Washington
1791,75463476.52,George Washington
1792,77227924.66,George Washington
1793,80358634.04,George Washington
1794,78427404.77,George Washington
1795,80747587.39,George Washington
1796,83762172.07,George Washington
1797,82064479.33,John Adams
1798,79228529.12,John Adams
1799,78408669.77,John Adams
1800,82976294.35,John Adams
1801,83038050.8,Thomas Jefferson
1802,80712632.25,Thomas Jefferson
1803,77054686.4,Thomas Jefferson
1804,86427120.88,Thomas Jefferson
1805,82312150.5,Thomas Jefferson
1806,75723270.66,Thomas Jefferson
1807,69218398.64,Thomas Jefferson
1808,65196317.97,Thomas Jefferson
1809,57023192.09,James Madison
1810,53173217.52,James Madison
1811,48005587.76,James Madison
1812,45209737.9,James Madison
1813,55962827.57,James Madison
1814,81487846.24,James Madison
1815,99833660.15,James Madison
1816,127334933.74,James Madison
1817,123491965.16,James Monroe
1818,103466633.83,James Monroe
1819,95529648.28,James Monroe
1820,91015566.15,James Monroe
1821,89987427.66,James Monroe
1822,93546676.98,James Monroe
1823,90875877.28,James Monroe
1824,90269777.77,James Monroe
1825,83788432.71,John Quincy Adams
1826,81054059.99,John Quincy Adams
1827,73987357.2,John Quincy Adams
1828,67475043.87,John Quincy Adams
1829,58421413.67,Andrew Jackson
1830,48565406.5,Andrew Jackson
1831,39123191.68,Andrew Jackson
1832,24322235.18,Andrew Jackson
1833,7001698.83,Andrew Jackson
1834,4760082.08,Andrew Jackson
1835,33733.05,Andrew Jackson
1836,37513.05,Andrew Jackson
1837,336957.83,Martin Van Buren
1838,3308124.07,Martin Van Buren
1839,10434221.14,Martin Van Buren
1840,3573343.82,Martin Van Buren
1841,5250875.54,John Tyler
1842,13594480.73,John Tyler
1843,20201226.27,John Tyler
1843,32742922.0,John Tyler
1844,23461652.5,John Tyler
1845,15925303.01,James K. Polk
1846,15550202.97,James K. Polk
1847,38826534.77,James K. Polk
1848,47044862.23,James K. Polk
1849,63061858.69,Zachary Taylor
1850,63452773.55,Millard Fillmore
1851,68304796.02,Millard Fillmore
1852,66199341.71,Millard Fillmore
1853,59803117.7,Franklin Pierce
1854,42242222.42,Franklin Pierce
1855,35586956.56,Franklin Pierce
1856,31972537.9,Franklin Pierce
1857,28699831.85,James Buchanan
1858,44911881.03,James Buchanan
1859,58496837.88,James Buchanan
1860,64842287.88,James Buchanan
1861,90580873.72,Abraham Lincoln
1862,524176412.13,Abraham Lincoln
1863,1119772138.63,Abraham Lincoln
1864,1815784370.57,Abraham Lincoln
1865,2680647869.74,Andrew Johnson
1866,2773236173.69,Andrew Johnson
1867,2678126103.87,Andrew Johnson
1868,2611687851.19,Andrew Johnson
1869,2588452213.94,Ulysses S. Grant
1870,2480672427.81,Ulysses S. Grant
1871,2353211332.32,Ulysses S. Grant
1872,2253251328.78,Ulysses S. Grant
1873,2234482993.2,Ulysses S. Grant
1874,2251690468.43,Ulysses S. Grant
1875,2232284531.95,Ulysses S. Grant
1876,2180395067.15,Ulysses S. Grant
1877,2205301392.1,Rutherford B. Hayes
1878,2256205892.53,Rutherford B. Hayes
1879,2349567482.04,Rutherford B. Hayes
1880,2120415370.63,Rutherford B. Hayes
1881,2069013569.58,Chester A. Arthur
1882,1918312994.03,Chester A. Arthur
